recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,0.9166666666666666
0.12,0.9230769230769231
0.13,0.8666666666666667
0.14,0.875
0.15,0.8823529411764706
0.16,0.8888888888888888
0.17,0.85
0.18,0.8571428571428571
0.19,0.8636363636363636
0.2,0.8695652173913043
0.21,0.84
0.22,0.8461538461538461
0.23,0.8518518518518519
0.24,0.8571428571428571
0.25,0.8620689655172413
0.26,0.8666666666666667
0.27,0.84375
0.28,0.8235294117647058
0.29,0.8285714285714286
0.3,0.8333333333333334
0.31,0.8378378378378378
0.32,0.8421052631578947
0.33,0.8461538461538461
0.34,0.85
0.35,0.8333333333333334
0.36,0.8372093023255814
0.37,0.8409090909090909
0.38,0.8444444444444444
0.39,0.8478260869565217
0.4,0.851063829787234
0.41,0.8541666666666666
0.42,0.84
0.43,0.8113207547169812
0.44,0.8
0.45,0.8035714285714286
0.46,0.8070175438596491
0.47,0.8103448275862069
0.48,0.8
0.49,0.8032786885245902
0.5,0.8064516129032258
0.51,0.8095238095238095
0.52,0.8125
0.53,0.8153846153846154
0.54,0.8181818181818182
0.55,0.8208955223880597
0.56,0.8235294117647058
0.57,0.8260869565217391
0.58,0.8285714285714286
0.59,0.8309859154929577
0.6,0.8333333333333334
0.61,0.8356164383561644
0.62,0.8378378378378378
0.63,0.84
0.64,0.8311688311688312
0.65,0.8227848101265823
0.66,0.825
0.67,0.8170731707317073
0.68,0.8192771084337349
0.69,0.8214285714285714
0.7,0.8235294117647058
0.71,0.8255813953488372
0.72,0.8275862068965517
0.73,0.8295454545454546
0.74,0.8314606741573034
0.75,0.8333333333333334
0.76,0.8351648351648352
0.77,0.8369565217391305
0.78,0.8387096774193549
0.79,0.8315789473684211
0.8,0.8333333333333334
0.81,0.8350515463917526
0.82,0.8282828282828283
0.83,0.8137254901960784
0.84,0.8
0.85,0.794392523364486
0.86,0.7889908256880734
0.87,0.7631578947368421
0.88,0.6376811594202898
0.89,0.6223776223776224
0.9,0.6206896551724138
0.91,0.5416666666666666
0.92,0.5082872928176796
0.93,0.4946808510638298
0.94,0.47959183673469385
0.95,0.4439252336448598
0.96,0.41739130434782606
0.97,0.29754601226993865
0.98,0.28405797101449276
0.99,0.2804532577903683
1.0,0.2
