metrics,random,loo,classwise_shapley,classwise_shapley_add_idx,beta_shapley,tmc_shapley
highest_accuracy_drop,0.12846048622584236,0.2673999695316214,0.18524054229905498,0.19099048445354205,0.17213886163425082,0.2812998533072744
lowest_accuracy_drop,0.04156114909472782,0.24770255555910112,0.09333136753506688,0.0600681212345386,0.040158485318938036,0.035553984511148724
highest_f1_weighted_drop,0.13612335632060046,0.37778286047006515,0.18981261664651328,0.19734423981889465,0.17825163868256524,0.30963780297100385
