num_removed,f1_weighted
0,0.9884997782963799
1,0.9884997782963799
2,0.9884997782963799
3,0.9884997782963799
4,0.9884993175602232
5,0.9894993769028126
6,0.9894993769028126
7,0.9894993769028126
8,0.9894993769028126
9,0.9894993769028126
10,0.989
11,0.989
12,0.989
13,0.989
14,0.989
15,0.989
16,0.989
17,0.989
18,0.9894997975749554
19,0.9894997975749554
20,0.9894997975749554
21,0.9894993769028126
22,0.9894993769028126
23,0.9894993769028126
24,0.9894993769028126
25,0.9894993769028126
26,0.9894993769028126
27,0.9894993769028126
28,0.9894993769028126
29,0.9899996094059064
30,0.9899996094059064
31,0.9899996094059064
32,0.9899996094059064
33,0.9899996094059064
34,0.9894997975749554
35,0.9899996094059064
36,0.9899996094059064
37,0.9899996094059064
38,0.9899996094059064
39,0.9894993769028126
40,0.9899996094059064
41,0.9899996094059064
42,0.9894993769028126
43,0.9894993769028126
44,0.9884993175602232
45,0.9884993175602232
46,0.9884993175602232
47,0.9884993175602232
48,0.9884993175602232
49,0.9884993175602232
50,0.9879990384615385
51,0.9879990384615385
52,0.9879990384615385
53,0.9879990384615385
54,0.9879990384615385
55,0.9884993175602232
56,0.987498732295648
57,0.987498732295648
58,0.987498732295648
59,0.987498732295648
60,0.987498732295648
61,0.987498732295648
62,0.987498732295648
63,0.987498732295648
64,0.987498732295648
65,0.987498732295648
66,0.987498732295648
67,0.9884993175602232
68,0.9884993175602232
69,0.9884993175602232
70,0.9884993175602232
71,0.9884993175602232
72,0.9884993175602232
73,0.9884993175602232
74,0.9884993175602232
75,0.9884993175602232
76,0.9884993175602232
77,0.9884993175602232
78,0.9884993175602232
79,0.9884993175602232
80,0.9884993175602232
81,0.9884993175602232
82,0.9884993175602232
83,0.9884993175602232
84,0.9884993175602232
85,0.9884993175602232
86,0.9884993175602232
87,0.9884993175602232
88,0.9879990384615385
89,0.9879995312870876
90,0.9884993175602232
91,0.9884993175602232
92,0.9884993175602232
93,0.9869983983075549
94,0.9869983983075549
95,0.9869983983075549
96,0.9869983983075549
97,0.9849967690259289
98,0.9854972218569792
99,0.9864980357420567
100,0.9864980357420567
101,0.9864980357420567
102,0.9869983983075549
103,0.9869983983075549
104,0.9869983983075549
105,0.9869983983075549
106,0.9869983983075549
107,0.9869983983075549
108,0.9869983983075549
109,0.9869983983075549
110,0.9869983983075549
111,0.9869983983075549
112,0.9864980357420567
113,0.9854972218569792
114,0.9854972218569792
115,0.9854972218569792
116,0.9854972218569792
117,0.9854972218569792
118,0.9854972218569792
119,0.9859976438437404
120,0.9859982751004438
121,0.9859982751004438
122,0.9859982751004438
123,0.9864980357420567
124,0.9864980357420567
125,0.9864980357420567
126,0.9859982751004438
127,0.9859982751004438
128,0.9839965536276575
129,0.9839973072499889
130,0.9839973072499889
131,0.9839973072499889
132,0.9839973072499889
133,0.9839973072499889
134,0.9849974755468648
135,0.9839980286862215
136,0.9844984280466035
137,0.9844984280466035
138,0.9849981518933327
139,0.9829971389531134
140,0.9839973072499889
141,0.9834975992402915
142,0.9834975992402915
143,0.9834975992402915
144,0.9834975992402915
145,0.9834975992402915
146,0.9814973082391147
147,0.9819985576923077
148,0.9819985576923077
149,0.9834983266302553
150,0.9834983266302553
151,0.9819969706562376
152,0.9819969706562376
153,0.9819969706562376
154,0.9829979054791104
155,0.9829979054791104
156,0.9829979054791104
157,0.9829979054791104
158,0.9829979054791104
159,0.9829979054791104
160,0.9829979054791104
161,0.9824974537397031
162,0.9824974537397031
163,0.9824974537397031
164,0.9829979054791104
165,0.9824974537397031
166,0.9829979054791104
167,0.9824974537397031
168,0.9824974537397031
169,0.9829971389531134
170,0.9829971389531134
171,0.9839965536276575
172,0.9834968386648384
173,0.982996338229386
174,0.982996338229386
175,0.982996338229386
176,0.9824966470687679
177,0.9829971389531134
178,0.9829971389531134
179,0.9814973082391147
180,0.9814973082391147
181,0.9814973082391147
182,0.9814973082391147
183,0.9794960722805568
184,0.9794960722805568
185,0.9794960722805568
186,0.9794960722805568
187,0.9794960722805568
188,0.9794960722805568
189,0.9794960722805568
190,0.9794960722805568
191,0.9794960722805568
192,0.9794960722805568
193,0.9794960722805568
194,0.9794960722805568
195,0.9794960722805568
196,0.9794960722805568
197,0.9794960722805568
198,0.9794960722805568
199,0.9794960722805568
200,0.9794960722805568
201,0.9794960722805568
202,0.9794960722805568
203,0.9794960722805568
204,0.9804953257802076
205,0.9804953257802076
206,0.979995692034572
207,0.979995692034572
208,0.979995692034572
209,0.979995692034572
210,0.979995692034572
211,0.979995692034572
212,0.979995692034572
213,0.9804962638766271
214,0.979995692034572
215,0.9794950860766285
216,0.9794950860766285
217,0.9794960722805568
218,0.9794960722805568
219,0.9789954766363005
220,0.9789954766363005
221,0.9794960722805568
222,0.9819961228311147
223,0.9819961228311147
224,0.9819961228311147
225,0.9799947097580917
226,0.9799947097580917
227,0.9809984775641026
228,0.9809984775641026
229,0.9809984775641026
230,0.9809984775641026
231,0.9809984775641026
232,0.9809984775641026
233,0.9809984775641026
234,0.9824982252139071
235,0.9824989615046876
236,0.9824989615046876
237,0.9824989615046876
238,0.9824989615046876
239,0.9824989615046876
240,0.9824989615046876
241,0.9819985576923077
242,0.9834983266302553
243,0.9834983266302553
244,0.9834983266302553
245,0.9844990801898663
246,0.9844990801898663
247,0.9844990801898663
248,0.9844990801898663
249,0.9805010690492408
250,0.9795003849162885
251,0.9800007410144488
252,0.9810000000000001
253,0.9810000000000001
254,0.98149964334635
255,0.9814989021620983
256,0.9819992969306315
257,0.9819992969306315
258,0.9819992969306315
259,0.9809992578712222
260,0.9814989021620983
261,0.9810000000000001
262,0.9804996240677745
263,0.98
264,0.9825009594031648
265,0.9825009594031648
266,0.9825009594031648
267,0.9825009594031648
268,0.9825009594031648
269,0.9825009594031648
270,0.9810013697752288
271,0.9810013697752288
272,0.9805010690492408
273,0.981501643946784
274,0.981501643946784
275,0.981501643946784
276,0.981501643946784
277,0.9815010142262028
278,0.9820012976817957
279,0.9815010142262028
280,0.9820012976817957
281,0.9820012976817957
282,0.9810013697752288
283,0.9810013697752288
284,0.9810013697752288
285,0.9820018923180897
286,0.9805017328087722
287,0.9795024783248262
288,0.9795024783248262
289,0.9795036682495886
290,0.9795036682495886
291,0.9790034687774987
292,0.9790034687774987
293,0.9795036682495886
294,0.9795036682495886
295,0.9790040361330002
296,0.9790040361330002
297,0.9760057651886699
298,0.9760057651886699
299,0.9765058977575236
300,0.9765058977575236
301,0.9765058977575236
302,0.9760057651886699
303,0.9760057651886699
304,0.9760057651886699
305,0.9760057651886699
306,0.9760057651886699
307,0.9770060080527724
308,0.9770060080527724
309,0.9770060080527724
310,0.9770060080527724
311,0.9770060080527724
312,0.9770060080527724
313,0.9770060080527724
314,0.9770060080527724
315,0.9770060080527724
316,0.9770060080527724
317,0.9770060080527724
318,0.9765053806303314
319,0.9765053806303314
320,0.9755061487259287
321,0.9755061487259287
322,0.9765058977575236
323,0.9760057651886699
324,0.9760057651886699
325,0.9715043012020239
326,0.9710039485645406
327,0.9700049553964267
328,0.970507403567955
329,0.970507403567955
330,0.971007575370887
331,0.9705085245717073
332,0.9675088065281024
333,0.9665090774981979
334,0.9670098081501415
335,0.9670098081501415
336,0.9670098081501415
337,0.9655099694143696
338,0.9660101053668124
339,0.9665102162993964
340,0.9670103029648042
341,0.9665102162993964
342,0.9670107317073171
343,0.9675099113352351
344,0.9675099113352351
345,0.966010615175859
346,0.967009247249844
347,0.9665096804458372
348,0.9665096804458372
349,0.9705085245717073
350,0.9705085245717073
351,0.9710081263710749
352,0.9705085245717073
353,0.9720078461513828
354,0.9640121029713115
355,0.9640121029713115
356,0.963013214827739
357,0.9620137229539865
358,0.968011269454416
359,0.968011045843251
360,0.9670116216248664
361,0.9600142841281131
362,0.9635129543631544
363,0.9635127358225102
364,0.9635127358225102
365,0.9625133092772132
366,0.9625133092772132
367,0.9625133092772132
368,0.9625133092772132
369,0.9635129543631544
370,0.9670117861977132
371,0.9535070177506707
372,0.9505101451915664
373,0.9505101451915664
374,0.9510106432281422
375,0.9420208867673127
