recall,precision
0.01,1.0
0.02,1.0
0.03,0.75
0.04,0.8
0.05,0.8333333333333334
0.06,0.8571428571428571
0.07,0.875
0.08,0.8888888888888888
0.09,0.8181818181818182
0.1,0.8333333333333334
0.11,0.8461538461538461
0.12,0.8571428571428571
0.13,0.8666666666666667
0.14,0.8235294117647058
0.15,0.7894736842105263
0.16,0.7619047619047619
0.17,0.7727272727272727
0.18,0.75
0.19,0.7307692307692307
0.2,0.625
0.21,0.6176470588235294
0.22,0.4888888888888889
0.23,0.5
0.24,0.4897959183673469
0.25,0.49019607843137253
0.26,0.5
0.27,0.4909090909090909
0.28,0.5
0.29,0.5087719298245614
0.3,0.5172413793103449
0.31,0.5166666666666667
0.32,0.5245901639344263
0.33,0.532258064516129
0.34,0.5396825396825397
0.35,0.5147058823529411
0.36,0.5217391304347826
0.37,0.5138888888888888
0.38,0.4935064935064935
0.39,0.4875
0.4,0.4878048780487805
0.41,0.4823529411764706
0.42,0.47191011235955055
0.43,0.4777777777777778
0.44,0.4835164835164835
0.45,0.4838709677419355
0.46,0.46938775510204084
0.47,0.42727272727272725
0.48,0.43243243243243246
0.49,0.4298245614035088
0.5,0.43478260869565216
0.51,0.4396551724137931
0.52,0.43333333333333335
0.53,0.43089430894308944
0.54,0.39705882352941174
0.55,0.35714285714285715
0.56,0.35
0.57,0.34545454545454546
0.58,0.34523809523809523
0.59,0.34911242603550297
0.6,0.3508771929824561
0.61,0.35260115606936415
0.62,0.35428571428571426
0.63,0.33689839572192515
0.64,0.3368421052631579
0.65,0.33505154639175255
0.66,0.3384615384615385
0.67,0.32682926829268294
0.68,0.3300970873786408
0.69,0.3333333333333333
0.7,0.3225806451612903
0.71,0.3212669683257919
0.72,0.32286995515695066
0.73,0.3133047210300429
0.74,0.3070539419087137
0.75,0.3073770491803279
0.76,0.3089430894308943
0.77,0.2894736842105263
0.78,0.2878228782287823
0.79,0.28214285714285714
0.8,0.2787456445993031
0.81,0.2691029900332226
0.82,0.271523178807947
0.83,0.26688102893890675
0.84,0.268370607028754
0.85,0.2698412698412698
0.86,0.2551928783382789
0.87,0.257396449704142
0.88,0.25806451612903225
0.89,0.2579710144927536
0.9,0.2564102564102564
0.91,0.2541899441340782
0.92,0.2562674094707521
0.93,0.25067385444743934
0.94,0.23618090452261306
0.95,0.2345679012345679
0.96,0.23132530120481928
0.97,0.22985781990521326
0.98,0.2300469483568075
0.99,0.22
1.0,0.2145922746781116
