recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,0.9411764705882353
0.17,0.9444444444444444
0.18,0.9473684210526315
0.19,0.95
0.2,0.9523809523809523
0.21,0.9545454545454546
0.22,0.9565217391304348
0.23,0.9583333333333334
0.24,0.96
0.25,0.9615384615384616
0.26,0.9629629629629629
0.27,0.9642857142857143
0.28,0.9655172413793104
0.29,0.9666666666666667
0.3,0.967741935483871
0.31,0.9393939393939394
0.32,0.9411764705882353
0.33,0.9428571428571428
0.34,0.9444444444444444
0.35,0.9459459459459459
0.36,0.9473684210526315
0.37,0.925
0.38,0.926829268292683
0.39,0.9285714285714286
0.4,0.9302325581395349
0.41,0.9318181818181818
0.42,0.9333333333333333
0.43,0.9148936170212766
0.44,0.9166666666666666
0.45,0.8823529411764706
0.46,0.8846153846153846
0.47,0.8545454545454545
0.48,0.8571428571428571
0.49,0.8596491228070176
0.5,0.819672131147541
0.51,0.8225806451612904
0.52,0.8253968253968254
0.53,0.828125
0.54,0.8307692307692308
0.55,0.8088235294117647
0.56,0.8
0.57,0.8028169014084507
0.58,0.8055555555555556
0.59,0.8082191780821918
0.6,0.8
0.61,0.782051282051282
0.62,0.7654320987654321
0.63,0.7590361445783133
0.64,0.7441860465116279
0.65,0.7386363636363636
0.66,0.7415730337078652
0.67,0.7362637362637363
0.68,0.7391304347826086
0.69,0.7340425531914894
0.7,0.7368421052631579
0.71,0.7395833333333334
0.72,0.7422680412371134
0.73,0.6517857142857143
0.74,0.6548672566371682
0.75,0.6578947368421053
0.76,0.6495726495726496
0.77,0.652542372881356
0.78,0.6554621848739496
0.79,0.6422764227642277
0.8,0.6349206349206349
0.81,0.627906976744186
0.82,0.6212121212121212
0.83,0.6102941176470589
0.84,0.6086956521739131
0.85,0.6028368794326241
0.86,0.6013986013986014
0.87,0.5878378378378378
0.88,0.5906040268456376
0.89,0.5855263157894737
0.9,0.5844155844155844
0.91,0.5652173913043478
0.92,0.5
0.93,0.42660550458715596
0.94,0.3790322580645161
0.95,0.3253424657534247
0.96,0.3210702341137124
0.97,0.31189710610932475
0.98,0.2648648648648649
0.99,0.23741007194244604
1.0,0.2222222222222222
