recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,0.8333333333333334
0.06,0.75
0.07,0.7777777777777778
0.08,0.7272727272727273
0.09,0.75
0.1,0.7142857142857143
0.11,0.7333333333333333
0.12,0.6666666666666666
0.13,0.6842105263157895
0.14,0.7
0.15,0.625
0.16,0.64
0.17,0.6538461538461539
0.18,0.6666666666666666
0.19,0.6785714285714286
0.2,0.6666666666666666
0.21,0.6774193548387096
0.22,0.6875
0.23,0.6571428571428571
0.24,0.6486486486486487
0.25,0.6410256410256411
0.26,0.65
0.27,0.6585365853658537
0.28,0.6511627906976745
0.29,0.6590909090909091
0.3,0.6521739130434783
0.31,0.6595744680851063
0.32,0.6666666666666666
0.33,0.6346153846153846
0.34,0.6415094339622641
0.35,0.6363636363636364
0.36,0.631578947368421
0.37,0.6379310344827587
0.38,0.6333333333333333
0.39,0.639344262295082
0.4,0.625
0.41,0.6212121212121212
0.42,0.5
0.43,0.5058823529411764
0.44,0.4943820224719101
0.45,0.47368421052631576
0.46,0.46
0.47,0.46534653465346537
0.48,0.46601941747572817
0.49,0.37404580152671757
0.5,0.373134328358209
0.51,0.3695652173913043
0.52,0.3611111111111111
0.53,0.36054421768707484
0.54,0.35526315789473684
0.55,0.34810126582278483
0.56,0.34355828220858897
0.57,0.3313953488372093
0.58,0.32954545454545453
0.59,0.329608938547486
0.6,0.3333333333333333
0.61,0.3370165745856354
0.62,0.34065934065934067
0.63,0.3442622950819672
0.64,0.34594594594594597
0.65,0.3439153439153439
0.66,0.34554973821989526
0.67,0.3435897435897436
0.68,0.30357142857142855
0.69,0.2875
0.7,0.26515151515151514
0.71,0.24912280701754386
0.72,0.24742268041237114
0.73,0.237012987012987
0.74,0.23492063492063492
0.75,0.211864406779661
0.76,0.2140845070422535
0.77,0.21095890410958903
0.78,0.2025974025974026
0.79,0.2036082474226804
0.8,0.19047619047619047
0.81,0.19014084507042253
0.82,0.18468468468468469
0.83,0.18201754385964913
0.84,0.1826086956521739
0.85,0.1843817787418655
0.86,0.18220338983050846
0.87,0.1831578947368421
0.88,0.18487394957983194
0.89,0.18619246861924685
0.9,0.18789144050104384
0.91,0.18958333333333333
0.92,0.1908713692946058
0.93,0.19096509240246407
0.94,0.19222903885480572
0.95,0.19308943089430894
0.96,0.1947261663286004
0.97,0.19635627530364372
0.98,0.19718309859154928
0.99,0.19879518072289157
1.0,0.20040080160320642
