metrics,random,loo,classwise_shapley,classwise_shapley_add_idx,beta_shapley,tmc_shapley
highest_accuracy_drop,0.03991031476694905,0.14597588500140218,0.21681400520700045,0.2238652061571858,0.20201408403088067,0.22632689519015983
lowest_accuracy_drop,0.02511723242462697,0.11024275978205997,0.006980029633579372,0.008409256851816042,0.05331051975378151,0.031031692199408444
highest_f1_weighted_drop,0.049607195208350184,0.1857411734665168,0.2089017068472483,0.21459812501862705,0.1939749302330897,0.22399142471071515
