recall,precision
0.0,0.0
0.04,0.5
0.08,0.6666666666666666
0.12,0.75
0.16,0.6666666666666666
0.2,0.625
0.24,0.5
0.28,0.5384615384615384
0.32,0.5
0.36,0.5294117647058824
0.4,0.47619047619047616
0.44,0.4583333333333333
0.48,0.48
0.52,0.4482758620689655
0.56,0.4666666666666667
0.6,0.46875
0.64,0.47058823529411764
0.68,0.3617021276595745
0.72,0.34615384615384615
0.76,0.31666666666666665
0.8,0.31746031746031744
0.84,0.31343283582089554
0.88,0.3142857142857143
0.92,0.3194444444444444
0.96,0.22018348623853212
1.0,0.2066115702479339
