recall,precision
0.0,0.0
0.04,0.3333333333333333
0.08,0.4
0.12,0.42857142857142855
0.16,0.5
0.2,0.5
0.24,0.5454545454545454
0.28,0.5833333333333334
0.32,0.27586206896551724
0.36,0.2903225806451613
0.4,0.2857142857142857
0.44,0.3055555555555556
0.48,0.3
0.52,0.3170731707317073
0.56,0.3333333333333333
0.6,0.3488372093023256
0.64,0.3333333333333333
0.68,0.3333333333333333
0.72,0.2571428571428571
0.76,0.2638888888888889
0.8,0.24390243902439024
0.84,0.24705882352941178
0.88,0.2391304347826087
0.92,0.22115384615384615
0.96,0.22641509433962265
1.0,0.22123893805309736
