recall,precision
0.0,0.0
0.04,0.3333333333333333
0.08,0.4
0.12,0.5
0.16,0.5714285714285714
0.2,0.625
0.24,0.5454545454545454
0.28,0.5384615384615384
0.32,0.32
0.36,0.34615384615384615
0.4,0.35714285714285715
0.44,0.3142857142857143
0.48,0.32432432432432434
0.52,0.30952380952380953
0.56,0.32558139534883723
0.6,0.3191489361702128
0.64,0.26666666666666666
0.68,0.2698412698412698
0.72,0.2727272727272727
0.76,0.2753623188405797
0.8,0.28169014084507044
0.84,0.2692307692307692
0.88,0.2391304347826087
0.92,0.22549019607843138
0.96,0.23076923076923078
1.0,0.21551724137931033
