num_removed,f1_weighted
0,0.725676381872537
1,0.7192667066678257
2,0.7199455208925009
3,0.7199455208925009
4,0.7176413768879523
5,0.7159159600420335
6,0.7205097782481055
7,0.7205097782481055
8,0.7205097782481055
9,0.7159159600420335
10,0.7159159600420335
11,0.7095739876561795
12,0.7060036727743225
13,0.7060036727743225
14,0.7060036727743225
15,0.7029923128514678
16,0.6974729038085202
17,0.6968415485393388
18,0.693439209192634
19,0.6860056999011952
20,0.6860056999011952
21,0.683602093468114
22,0.683602093468114
23,0.6843272738250094
24,0.6819278518479638
25,0.683602093468114
26,0.683602093468114
27,0.681189536835905
28,0.6787679145182158
29,0.6787679145182158
30,0.6754369862027749
31,0.6754369862027749
32,0.6754369862027749
33,0.6771022232055961
34,0.6711755182804386
35,0.6735626987356269
36,0.6785807221269309
37,0.6745121236728415
38,0.6745121236728415
39,0.6728436850479889
40,0.6745121236728415
41,0.6749507857331739
42,0.667115956777728
43,0.6687796314461005
44,0.6566656550540515
45,0.6591067716720971
46,0.6615386115818077
47,0.6615386115818077
48,0.6687796314461005
49,0.6517417020908167
50,0.654169131402394
51,0.6517417020908167
52,0.6517417020908167
53,0.6501005329483046
54,0.6435953091572686
55,0.6411493713156515
56,0.6403164005328157
57,0.6386940035087496
58,0.6395221126904945
59,0.6386940035087496
60,0.6395221126904945
61,0.6419633360401256
62,0.6395221126904945
63,0.6386990262587534
64,0.6330114811872577
65,0.6394846773640644
66,0.6418938005138053
67,0.6345720013522016
68,0.6223591095305452
69,0.624866400722565
70,0.6305799032533321
71,0.6200414075026378
72,0.62245836603791
73,0.6119308431790241
74,0.6135542293153115
75,0.6054297415583754
76,0.6021741093565217
77,0.5862020029962357
78,0.5731050390305816
79,0.5708517694251993
80,0.5733834261519491
81,0.5185909980430529
82,0.5136537016748635
83,0.5136537016748635
84,0.48952092202237063
85,0.4881405254476176
86,0.47903406892402467
87,0.4751893019050138
88,0.46900116478024606
89,0.471579342756126
90,0.4617217954171612
91,0.44861549336556866
92,0.4492376084122882
93,0.403459987998074
94,0.4035970729264244
95,0.4152676663115218
96,0.41909616347335366
97,0.37737200642298663
98,0.37388547635320796
99,0.3830506338941503
100,0.3357183422808605
101,0.32573092832061873
102,0.33060918096399367
103,0.3201717009935348
104,0.3347858829880559
105,0.3347858829880559
106,0.33999358645551575
107,0.345692088762583
108,0.3363880470257205
109,0.33384526336098785
110,0.3422976365016727
111,0.33511405317556336
112,0.3344897074511589
113,0.33574495150740363
114,0.3279716174095002
115,0.3221924108250285
116,0.34179607348767804
117,0.3357183422808605
118,0.3352090265014229
119,0.32960603792797144
120,0.3267286544768284
121,0.30998974932438733
122,0.3068908066503901
123,0.31620414559947096
124,0.29560115468880405
125,0.27047998212508384
126,0.5142272841097746
127,0.5142272841097746
