recall,precision
0.01,1.0
0.02,1.0
0.03,0.75
0.04,0.8
0.05,0.45454545454545453
0.06,0.3
0.07,0.1794871794871795
0.08,0.14285714285714285
0.09,0.1267605633802817
0.1,0.13333333333333333
0.11,0.14102564102564102
0.12,0.1518987341772152
0.13,0.15853658536585366
0.14,0.1590909090909091
0.15,0.16666666666666666
0.16,0.17204301075268819
0.17,0.17708333333333334
0.18,0.16981132075471697
0.19,0.16964285714285715
0.2,0.1694915254237288
0.21,0.1721311475409836
0.22,0.15942028985507245
0.23,0.16428571428571428
0.24,0.16666666666666666
0.25,0.16447368421052633
0.26,0.16560509554140126
0.27,0.16666666666666666
0.28,0.14814814814814814
0.29,0.1457286432160804
0.3,0.1485148514851485
0.31,0.1341991341991342
0.32,0.13793103448275862
0.33,0.14163090128755365
0.34,0.1452991452991453
0.35,0.14767932489451477
0.36,0.15
0.37,0.14682539682539683
0.38,0.15019762845849802
0.39,0.15354330708661418
0.4,0.1532567049808429
0.41,0.15648854961832062
0.42,0.1590909090909091
0.43,0.1524822695035461
0.44,0.15384615384615385
0.45,0.15463917525773196
0.46,0.1554054054054054
0.47,0.15824915824915825
0.48,0.15335463258785942
0.49,0.15555555555555556
0.5,0.15822784810126583
0.51,0.15987460815047022
0.52,0.1609907120743034
0.53,0.16158536585365854
0.54,0.16119402985074627
0.55,0.16272189349112426
0.56,0.16184971098265896
0.57,0.16332378223495703
0.58,0.16338028169014085
0.59,0.16573033707865167
0.6,0.16759776536312848
0.61,0.16944444444444445
0.62,0.17079889807162535
0.63,0.17119565217391305
0.64,0.1725067385444744
0.65,0.17379679144385027
0.66,0.176
0.67,0.17678100263852242
0.68,0.1784776902887139
0.69,0.1806282722513089
0.7,0.1794871794871795
0.71,0.17974683544303796
0.72,0.18181818181818182
0.73,0.18295739348370926
0.74,0.18316831683168316
0.75,0.18518518518518517
0.76,0.18719211822660098
0.77,0.1891891891891892
0.78,0.1897810218978102
0.79,0.19036144578313252
0.8,0.19230769230769232
0.81,0.19331742243436753
0.82,0.1943127962085308
0.83,0.19621749408983452
0.84,0.1976470588235294
0.85,0.195852534562212
0.86,0.19501133786848074
0.87,0.1963882618510158
0.88,0.19775280898876405
0.89,0.19955156950672645
0.9,0.19823788546255505
0.91,0.19956140350877194
0.92,0.20087336244541484
0.93,0.20217391304347826
0.94,0.2021505376344086
0.95,0.20386266094420602
0.96,0.20512820512820512
0.97,0.20638297872340425
0.98,0.208067940552017
0.99,0.20081135902636918
1.0,0.20242914979757085
