recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,0.875
0.08,0.8
0.09,0.8181818181818182
0.1,0.8333333333333334
0.11,0.7857142857142857
0.12,0.8
0.13,0.6842105263157895
0.14,0.7
0.15,0.7142857142857143
0.16,0.6956521739130435
0.17,0.7083333333333334
0.18,0.72
0.19,0.6785714285714286
0.2,0.6896551724137931
0.21,0.7
0.22,0.7096774193548387
0.23,0.71875
0.24,0.7272727272727273
0.25,0.7352941176470589
0.26,0.7222222222222222
0.27,0.7105263157894737
0.28,0.7
0.29,0.6744186046511628
0.3,0.6521739130434783
0.31,0.6595744680851063
0.32,0.6666666666666666
0.33,0.6346153846153846
0.34,0.6181818181818182
0.35,0.603448275862069
0.36,0.6101694915254238
0.37,0.5967741935483871
0.38,0.59375
0.39,0.5652173913043478
0.4,0.5714285714285714
0.41,0.5394736842105263
0.42,0.5454545454545454
0.43,0.5512820512820513
0.44,0.5432098765432098
0.45,0.5487804878048781
0.46,0.5287356321839081
0.47,0.5340909090909091
0.48,0.5333333333333333
0.49,0.5268817204301075
0.5,0.5208333333333334
0.51,0.5257731958762887
0.52,0.5306122448979592
0.53,0.5353535353535354
0.54,0.54
0.55,0.5392156862745098
0.56,0.5384615384615384
0.57,0.5428571428571428
0.58,0.5321100917431193
0.59,0.5
0.6,0.5042016806722689
0.61,0.48031496062992124
0.62,0.484375
0.63,0.4772727272727273
0.64,0.4740740740740741
0.65,0.47794117647058826
0.66,0.46808510638297873
0.67,0.44370860927152317
0.68,0.422360248447205
0.69,0.42592592592592593
0.7,0.4117647058823529
0.71,0.39444444444444443
0.72,0.39779005524861877
0.73,0.4010989010989011
0.74,0.39572192513368987
0.75,0.375
0.76,0.3781094527363184
0.77,0.36492890995260663
0.78,0.3561643835616438
0.79,0.35909090909090907
0.8,0.32388663967611336
0.81,0.30566037735849055
0.82,0.29818181818181816
0.83,0.2996389891696751
0.84,0.29473684210526313
0.85,0.2901023890784983
0.86,0.28104575163398693
0.87,0.2761904761904762
0.88,0.2691131498470948
0.89,0.2680722891566265
0.9,0.26785714285714285
0.91,0.26608187134502925
0.92,0.2658959537572254
0.93,0.2664756446991404
0.94,0.26857142857142857
0.95,0.260989010989011
0.96,0.25396825396825395
0.97,0.24744897959183673
0.98,0.21777777777777776
0.99,0.21663019693654267
1.0,0.2028397565922921
